price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,distance_from_downtown_mile,total_sqft_larger_than_neighbours,price_per_sqft,is_renovated
719000,4,2.5,2570,7173,2,0,3,8,2570,0,2005,98052,47.7073,-122.11,2630,6026,12.47,1,73.8,0
580500,3,2.5,2320,3980,2,0,3,8,2320,0,2003,98027,47.5391,-122.07,2580,3980,13.06,0,92.14,0
280000,2,1.5,1190,1265,3,0,3,7,1190,0,2005,98133,47.7274,-122.357,1390,1756,8.45,0,114.05,0
687500,4,1.75,2330,5000,1.5,0,4,7,1510,820,1929,98117,47.6823,-122.368,1460,5000,5.51,1,93.79,0
535000,3,1,1090,3000,1.5,0,4,8,1090,0,1929,98117,47.6889,-122.375,1570,5080,6.05,0,130.81,0
322500,4,2.75,2060,6659,1,0,3,7,1280,780,1981,98058,47.4276,-122.157,2020,8720,14.79,0,36.99,0
696000,3,2.5,2300,3060,1.5,0,3,8,1510,790,1930,98115,47.6827,-122.31,1590,3264,5.38,1,129.85,1
550000,4,1,1660,34848,1,0,1,5,930,730,1933,98052,47.6621,-122.132,2160,11467,10.08,1,15.07,0
640000,4,2,2360,6000,2,0,4,8,2360,0,1904,98107,47.6702,-122.362,1730,4700,4.63,1,76.56,0
240000,4,1,1220,8075,1,0,2,7,890,330,1969,98001,47.3341,-122.282,1290,7800,18.93,1,25.82,0
605000,4,2.5,2620,7553,2,0,3,8,2620,0,1996,98056,47.5301,-122.18,2620,11884,8.82,0,59.47,0
625000,4,2.5,2570,5520,2,0,3,9,2570,0,2000,98074,47.6145,-122.027,2470,5669,14.21,0,77.26,0
775000,4,2.25,4220,24186,1,0,3,8,2600,1620,1984,98166,47.445,-122.347,2410,30617,11.15,0,27.28,0
861990,5,2.75,3595,5639,2,0,3,9,3595,0,2014,98053,47.6848,-122.016,3625,5639,15.67,0,93.35,0
685000,3,1,1570,2280,2,0,3,7,1570,0,1922,98119,47.6413,-122.364,1580,2640,2.84,0,177.92,0
309000,3,1,1280,9656,1,0,4,6,920,360,1959,98058,47.4485,-122.175,1340,8808,13.12,1,28.26,0
488000,3,2.5,3160,13603,2,0,3,8,3160,0,2003,98019,47.7443,-121.977,3050,9232,19.06,1,29.11,0
210490,3,1,990,8528,1,0,3,6,990,0,1966,98023,47.3066,-122.371,1228,8840,20.77,0,22.11,0
785000,4,2.5,2290,13416,2,0,4,9,2290,0,1981,98007,47.6194,-122.151,2680,13685,8.48,0,49.98,0
450000,3,1.75,1250,5963,1,0,4,7,1250,0,1953,98115,47.6796,-122.301,970,5100,5.27,1,62.39,0
1350000,3,2.5,2753,65005,1,1,5,9,2165,588,1953,98070,47.4041,-122.451,2680,72513,15.02,0,19.92,0
228000,3,1,1190,9199,1,0,3,7,1190,0,1955,98148,47.4258,-122.322,1190,9364,12.46,0,21.95,0
345000,5,2.5,3150,9134,1,0,4,8,1640,1510,1966,98056,47.4934,-122.189,1990,9133,10.25,1,28.09,0
600000,3,1.75,1410,4080,1,0,4,7,1000,410,1950,98117,47.6808,-122.384,1410,4080,5.69,0,109.29,0
585000,2,1.75,1980,8550,1,0,3,7,990,990,1981,98117,47.6989,-122.369,1480,6738,6.63,1,55.56,0
920000,5,2.25,2730,6000,1.5,0,3,8,2130,600,1927,98105,47.6571,-122.281,2730,6000,4.24,0,105.38,0
885000,4,2.5,2830,5000,2,0,3,9,2830,0,1995,98105,47.6597,-122.29,1950,5000,4.18,1,113.03,0
292500,4,2.5,2250,4495,2,0,3,7,2250,0,2008,98042,47.3663,-122.114,2250,4500,19.44,0,43.37,0
301000,3,2.5,2420,4750,2,0,3,8,2420,0,2003,98042,47.3663,-122.122,2690,4750,19.25,0,41.98,0
951000,5,3.25,3250,14342,2,0,4,8,3250,0,1968,98008,47.588,-122.116,2960,11044,10.14,1,54.06,0
430000,4,3,1850,9976,2,0,3,8,1850,0,1991,98059,47.5059,-122.149,2270,8542,10.99,1,36.36,0
650000,3,2.25,2150,21235,1,0,4,8,1590,560,1959,98166,47.4336,-122.339,2570,18900,11.92,1,27.8,0
289000,3,1.75,1260,8400,1,0,3,7,1260,0,1954,98148,47.4366,-122.335,1290,8750,11.71,0,29.92,0
505000,3,1.75,2519,8690,2,0,5,8,2519,0,1973,98166,47.4428,-122.344,2500,9500,11.3,0,45.05,0
549000,3,1.75,1540,1044,3,0,3,8,1540,0,2014,98115,47.6765,-122.32,1580,3090,4.89,0,212.46,0
425000,3,2.25,1660,6000,1,0,3,7,1110,550,1979,98122,47.6113,-122.297,1440,4080,1.67,1,55.48,0
317625,3,2.75,2770,3809,1.5,0,5,7,1770,1000,1925,98144,47.5747,-122.304,1440,4000,2.54,1,48.28,0
975000,4,2.5,2720,11049,2,0,3,10,2720,0,1989,98004,47.5815,-122.192,2750,11049,6.74,0,70.81,0
287000,4,2.5,2240,4648,2,0,3,7,2240,0,2005,98001,47.3378,-122.257,2221,4557,18.86,1,41.67,0
204000,3,1,1000,12070,1,0,4,7,1000,0,1968,98042,47.3621,-122.11,1010,12635,19.79,0,15.61,0
1330000,5,2.25,3200,20158,1,0,3,8,1600,1600,1965,98004,47.6303,-122.215,3390,20158,5.7,0,56.94,0
1040000,5,3.25,4770,50094,1,0,4,11,3070,1700,1973,98005,47.6525,-122.16,3530,38917,8.62,1,18.96,0
325000,3,2,1260,5612,1,0,4,7,1260,0,1972,98034,47.7362,-122.179,1640,4745,11.46,1,47.29,0
571000,4,2,2750,7807,1.5,0,5,7,2250,500,1916,98125,47.7168,-122.287,1510,7807,7.92,1,54.09,0
360000,4,2.5,2380,5000,2,0,3,8,2380,0,2005,98038,47.3608,-122.036,2420,5000,21.86,0,48.78,0
349000,3,1.75,1790,50529,1,0,5,7,1090,700,1965,98042,47.3511,-122.073,1940,50529,21.36,0,6.67,0
832500,4,4,3430,35102,2,0,4,10,2390,1040,1986,98075,47.5822,-121.987,3240,35020,16.15,1,21.61,0
380000,4,1.75,1760,7300,1,0,3,7,880,880,1956,98008,47.6034,-122.125,1680,7500,9.64,0,41.94,0
480000,3,1,1040,5060,1,0,3,7,1040,0,1941,98116,47.5636,-122.394,890,5060,4.12,1,78.69,0
410000,3,1,1410,5060,1,0,4,7,910,500,1956,98133,47.7073,-122.34,1130,5693,6.99,0,63.37,0
720000,4,2.5,3450,39683,2,0,3,10,3450,0,2002,98010,47.342,-122.025,3350,39750,23.2,1,16.69,0
390000,3,2.5,2350,5100,2,0,3,8,2350,0,2003,98038,47.3512,-122.008,2350,5363,23.21,0,52.35,0
360000,4,2.5,1900,5889,2,0,3,7,1900,0,1992,98038,47.349,-122.031,1870,6405,22.65,0,46.22,0
355000,2,1,2020,6720,1,0,3,7,1010,1010,1948,98118,47.5474,-122.291,1720,6720,4.49,1,40.62,0
356000,3,1.5,1680,8712,1,0,3,8,1680,0,1964,98059,47.4811,-122.149,1850,8797,12.14,0,34.26,0
315000,3,1,960,6634,1,0,3,6,960,0,1952,98125,47.7264,-122.31,1570,7203,8.36,0,41.48,0
940000,3,1.5,2140,3600,2,0,3,9,1900,240,1925,98119,47.6337,-122.365,2020,4800,2.44,0,163.76,0
305000,5,2.25,2660,8400,1.5,0,5,7,2660,0,1961,98092,47.2909,-122.189,1590,8165,22.77,1,27.58,0
461000,3,3.25,2770,6278,2,0,3,9,1980,790,2006,98056,47.5228,-122.199,1900,7349,8.46,0,50.95,0
215000,2,2.25,1610,2040,2,0,4,7,1610,0,1979,98056,47.518,-122.194,1950,2025,8.86,0,58.9,0
335000,2,1.75,1030,1066,2,0,3,7,765,265,2006,98136,47.5394,-122.387,1030,1106,5.27,0,159.83,0
243500,4,2.5,1980,7403,2,0,3,7,1980,0,1988,98023,47.2897,-122.372,1980,7510,21.93,0,25.95,0
1100000,5,2.75,3520,6353,2,0,4,10,3520,0,2001,98199,47.6506,-122.391,2520,6250,4.11,1,111.41,0
153000,3,1,1200,10500,1,0,3,7,1200,0,1962,98023,47.322,-122.351,1350,10500,19.64,0,13.08,0
430000,3,1.5,1580,5000,1,0,3,8,1290,290,1939,98117,47.687,-122.386,1570,4500,6.12,1,65.35,0
905000,4,2.5,3300,10250,1,0,3,7,2390,910,1946,98040,47.5873,-122.249,1950,6045,4.08,1,66.79,1
247500,3,1.75,1960,15681,1,0,3,7,1960,0,1967,98032,47.3576,-122.277,1750,15616,17.36,1,14.03,0
199000,4,1.5,1160,6400,1,0,4,7,1160,0,1975,98023,47.3036,-122.378,1160,6400,21,0,26.32,0
314000,3,1.75,1810,41800,1,0,5,7,1210,600,1980,98038,47.4109,-121.958,1650,135036,22.05,0,7.2,0
437500,3,2.5,2320,36847,2,0,3,9,2320,0,1992,98045,47.4838,-121.714,2550,35065,30.02,1,11.17,0
850830,3,2.5,2070,13241,1.5,0,5,9,1270,800,1910,98102,47.6415,-122.315,2200,4500,2.56,1,55.57,0
555000,3,2,1980,3478,1.5,0,4,7,1440,540,1929,98117,47.6775,-122.372,1610,3478,5.26,1,101.69,0
699950,3,2.25,2190,107593,2,0,4,8,2190,0,1983,98077,47.7731,-122.08,2570,47777,16.43,1,6.38,0
1090000,3,2.5,2920,8113,2,0,3,8,2920,0,1950,98004,47.5814,-122.196,2370,8113,6.56,1,98.79,1
290000,3,1,1210,33919,1,0,3,7,1210,0,1954,98058,47.4375,-122.184,1640,14910,13.54,1,8.26,0
375000,3,2.5,2340,10005,1,0,4,8,1460,880,1978,98058,47.4431,-122.133,2250,8162,14.59,1,30.38,0
460000,3,1,1670,4005,1.5,0,4,7,1170,500,1939,98117,47.6878,-122.38,1240,4005,6.06,1,81.06,0
188500,2,1.75,1240,2493,1,0,4,8,1240,0,1985,98198,47.3813,-122.322,1270,4966,15.54,0,50.5,0
680000,4,2.5,3140,28037,2,0,4,10,3140,0,1991,98077,47.7304,-122.082,2990,35001,14.45,0,21.81,0
470000,5,1.75,2030,12342,2,0,4,7,2030,0,1942,98052,47.6417,-122.109,2500,9433,10.67,1,32.7,0
597750,4,2.5,2310,9624,2,0,3,8,2310,0,1984,98027,47.5386,-122.053,1940,9636,13.81,1,50.09,0
570000,3,1.75,1260,3328,1,0,5,6,700,560,1905,98103,47.6823,-122.349,1380,3536,5.31,0,124.24,0
272500,3,1.75,1540,12600,1,0,4,7,1160,0,1980,98038,47.3624,-122.031,1540,11656,21.93,1,19.27,0
329950,3,1.75,2080,5969,1,0,3,7,1080,1000,1971,98108,47.5474,-122.295,2090,5500,4.41,1,40.99,0
480000,4,2.5,3230,16171,2,0,3,9,2520,710,2001,98001,47.3183,-122.253,2640,8517,20.22,1,24.74,0
740500,3,3.5,4380,6350,2,0,3,8,2780,0,1900,98117,47.6981,-122.368,1830,6350,6.56,1,69.01,0
518500,3,3.5,1590,1102,3,0,3,8,1590,0,2010,98103,47.6824,-122.347,1620,3166,5.31,0,192.61,0
205425,2,1,880,6780,1,0,4,6,880,0,1945,98178,47.5009,-122.248,1190,6780,8.26,0,26.82,0
171800,4,2,1570,9600,1,0,3,6,1570,0,1950,98168,47.4965,-122.303,1880,9000,7.69,1,15.38,0
535000,4,1,1610,2982,1.5,0,4,7,1610,0,1925,98144,47.587,-122.294,1610,4040,2.21,0,116.51,0
660000,3,2.5,2400,6474,1,0,3,8,1560,840,1964,98177,47.7728,-122.386,2340,10856,11.77,0,74.37,0
391500,3,2,1450,9132,1,0,3,7,1450,0,1987,98034,47.7288,-122.226,1580,9104,9.8,0,37,0
395000,2,1,770,6000,1,0,3,6,770,0,1953,98117,47.6999,-122.364,1710,6000,6.64,0,58.35,0
445000,4,1.75,2100,4400,1.5,0,5,7,1720,380,1924,98118,47.5299,-122.266,1850,4400,6.1,1,68.46,0
770000,3,2.25,2910,10204,2,0,3,9,2910,0,1990,98052,47.6897,-122.098,2700,13992,12.32,0,58.72,0
1450000,4,2.75,2750,17789,1.5,0,3,8,1980,770,1914,98004,47.6141,-122.212,3060,11275,5.62,1,70.6,1
445000,3,2.25,2100,8201,1,0,3,8,1620,480,1967,98178,47.5091,-122.244,2660,8712,7.86,0,43.2,0
260000,4,2.25,2160,8811,1,0,3,8,1360,800,1978,98023,47.3129,-122.39,2090,8400,20.43,1,23.7,0
822500,5,3.5,2320,4960,2,0,5,7,1720,600,1926,98103,47.6763,-122.352,1700,4960,4.93,1,112.98,0
430000,4,2.5,2070,4310,2,0,3,7,2070,0,2004,98065,47.5319,-121.85,1970,3748,23.04,1,67.4,0
212000,3,1.75,1060,7875,1,0,4,7,1060,0,1986,98092,47.2761,-122.152,1420,7680,24.29,0,23.73,0
660500,4,2.25,2010,9603,1,0,3,8,1440,570,1986,98027,47.5343,-122.054,2060,9793,13.87,0,56.88,0
784000,3,3.5,3950,111078,1.5,0,3,9,2460,1490,1989,98052,47.697,-122.072,2480,88500,13.63,1,6.82,0
453246,3,2.5,2010,2287,2,0,3,8,1390,620,2014,98029,47.5517,-121.998,1690,1662,16.01,1,105.48,0
675000,4,3.5,2140,2278,3,0,3,9,2140,0,2005,98107,47.6734,-122.38,1540,2285,5.15,1,152.78,0
199000,3,1.75,1320,17390,1,0,4,7,1320,0,1956,98003,47.3257,-122.296,1550,19265,19.44,0,10.64,0
220000,4,1.75,2020,7840,1,0,3,7,1010,1010,1968,98003,47.3309,-122.299,1750,8140,19.07,0,22.31,0
452000,4,2.25,2590,10002,1,0,4,8,1340,1250,1968,98028,47.7689,-122.266,1550,10436,11.65,1,35.9,0
382500,2,1,1190,4440,1,0,3,6,1190,0,1981,98125,47.7135,-122.287,1060,5715,7.7,0,67.94,0
519950,3,2.25,1170,1249,3,0,3,8,1170,0,2014,98107,47.6722,-122.381,1350,1310,5.09,0,214.94,0
665000,2,1,1110,3200,1,0,3,7,1110,0,1925,98119,47.6338,-122.358,1170,3600,2.25,0,154.29,0
527700,5,2.5,2820,9375,1,0,4,8,1550,1270,1968,98006,47.5707,-122.128,2820,9375,9.82,0,43.27,0
205000,3,1,1610,8579,1,0,4,7,1010,600,1962,98058,47.4563,-122.171,1610,8579,12.79,0,20.12,0
420000,3,1,1060,8097,1,0,4,7,940,120,1923,98133,47.7144,-122.351,1560,7940,7.52,0,45.87,0
500000,4,2.25,2030,8517,1,0,4,8,1380,650,1961,98006,47.5495,-122.174,2230,8824,8.34,0,47.41,0
921500,4,2.5,3670,315374,2,0,4,9,3670,0,1994,98077,47.7421,-122.026,2840,87991,17.05,1,2.89,0
890000,4,1,2550,4000,2,0,3,8,2370,180,1905,98109,47.6354,-122.353,2200,4000,2.24,1,135.88,0
430000,2,2.5,2420,60984,2,0,3,7,2420,0,2007,98027,47.5262,-121.943,1940,193842,18.95,0,6.78,0
258000,5,2,2260,12500,1,0,4,8,1130,1130,1960,98032,47.3887,-122.286,1360,18000,15.17,0,17.48,0
511000,3,1,1430,3455,1,0,3,7,980,450,1947,98103,47.6873,-122.336,1450,4599,5.6,0,104.61,0
532170,3,2,1360,3090,2,0,3,8,1360,0,1990,98103,47.6838,-122.353,1500,3090,5.45,0,119.59,0
560000,3,1,1110,5000,1.5,0,3,7,1110,0,1947,98107,47.655,-122.359,1420,5000,3.59,0,91.65,0
282950,3,1,1250,8200,1,0,4,7,1250,0,1954,98003,47.3255,-122.304,1680,8633,19.43,0,29.94,0
2250000,4,3.25,5180,19850,2,0,3,12,3540,1640,2006,98006,47.562,-122.162,3160,9750,8.49,1,89.89,0
350000,1,1,700,5100,1,0,3,7,700,0,1942,98115,47.679,-122.3,1010,5100,5.24,0,60.34,0
215000,3,1,1180,7669,1,0,4,7,1180,0,1967,98058,47.4479,-122.176,1190,7669,13.13,0,24.3,0
650000,5,3.5,3960,25245,2,0,3,9,2500,1460,1996,98056,47.525,-122.172,2640,13675,9.33,1,22.26,0
320000,4,2.75,2640,7500,1,0,3,8,1620,1020,1967,98023,47.3135,-122.369,1980,7875,20.28,1,31.56,0
247000,3,2,1270,7198,1.5,0,3,7,1270,0,1916,98022,47.2086,-121.996,1160,7198,31.63,1,29.17,1
320000,4,1.75,1760,11180,1,0,4,8,1760,0,1968,98059,47.4715,-122.118,1730,11180,13.64,1,24.73,0
255000,5,2.25,2060,8632,1,0,3,7,1030,1030,1962,98146,47.4877,-122.335,1010,11680,8.18,0,23.85,0
438000,3,1.75,1780,9660,1,0,3,7,1780,0,1962,98034,47.7171,-122.193,1200,9660,10.02,1,38.29,0
900000,3,2.5,3400,16603,2,0,3,10,3400,0,2000,98075,47.6012,-122.023,3400,12601,14.39,1,44.99,0
441000,3,2.75,1910,7280,1,0,3,7,1160,750,1979,98034,47.7319,-122.224,1710,8152,10.03,0,47.99,0
420000,3,2,2020,38332,1,0,4,7,1010,1010,1975,98027,47.4582,-122.023,2110,36590,17.67,1,10.41,0
370000,3,1.75,1580,7000,1,0,3,7,1180,400,1976,98034,47.7209,-122.168,1640,7500,11,0,43.12,0
269950,2,1.75,1340,7250,1,0,5,5,700,640,1949,98198,47.408,-122.327,1830,9750,13.69,0,31.43,0
807100,4,2.5,2680,4499,2,0,3,9,2680,0,1999,98006,47.565,-122.125,2920,4500,10.06,0,112.43,0
653000,3,2.5,2680,9750,1,0,4,8,1610,1070,1979,98034,47.7028,-122.231,2480,8750,8.16,1,52.53,0
371500,3,2,1370,8336,1,0,5,7,1370,0,1964,98133,47.7458,-122.331,1770,7288,9.64,1,38.28,0
284000,3,1.75,1560,21000,1,0,3,7,1560,0,1954,98166,47.4776,-122.337,1070,7920,8.88,1,12.59,0
272000,3,1.75,2160,7140,1,0,4,7,1670,490,1978,98023,47.3026,-122.374,1930,7350,21.05,1,29.25,0
313000,3,1.5,1340,7912,1.5,0,3,7,1340,0,1955,98133,47.7658,-122.339,1480,7940,11.02,0,33.83,0
917500,4,2.5,3880,35003,2,0,3,10,2570,1310,1984,98033,47.6477,-122.182,3740,35230,7.55,0,23.6,0
673000,4,2.25,2590,8190,2,0,4,8,2590,0,1980,98006,47.5619,-122.125,2260,8335,10.12,1,62.43,0
425000,3,2.5,1120,1100,2,0,3,8,820,300,2008,98122,47.6106,-122.31,1590,1795,1.07,0,191.44,0
399950,5,2.75,1970,5400,1,0,3,7,1320,650,1986,98144,47.5868,-122.308,1280,2150,1.75,1,54.27,0
385000,3,1,1220,4800,1,0,3,6,1220,0,1901,98122,47.6101,-122.307,1200,4800,1.2,1,63.95,0
269950,3,1.5,1950,7560,1,0,4,7,1320,630,1975,98022,47.1976,-121.999,1950,8941,32.22,0,28.39,0
330000,2,1,1350,8220,1,0,3,7,1060,290,1949,98177,47.7224,-122.358,1540,8280,8.11,0,34.48,0
260000,3,2.5,1670,5797,2,0,3,7,1670,0,1988,98030,47.3505,-122.179,1670,6183,19.05,0,34.82,0
470000,4,3,2380,5125,1.5,0,4,7,1680,700,1925,98126,47.5384,-122.376,1410,5375,5.11,1,62.62,0
589000,4,3,2440,9600,2,0,5,7,2440,0,1961,98034,47.7044,-122.2,2290,9600,9.15,1,48.92,0
163500,2,1.5,1050,3419,2,0,3,7,1050,0,1996,98038,47.3848,-122.039,1050,3417,20.51,1,36.59,0
835000,4,2.75,3130,13412,2,0,3,9,2140,990,1993,98052,47.6993,-122.102,2260,9984,12.48,1,50.48,0
1100000,5,3,4090,12850,1,0,4,10,2090,2000,1986,98033,47.6627,-122.188,2540,10270,7.76,1,64.94,0
269000,4,1.75,1490,10000,1,0,4,8,1100,390,1969,98023,47.3099,-122.379,2190,8910,20.58,1,23.41,0
560000,3,2.5,1900,8744,2,0,3,8,1900,0,1987,98074,47.62,-122.043,2030,8744,13.49,0,52.61,0
615000,4,1,1330,2400,1.5,0,4,6,1330,0,1901,98103,47.65,-122.34,1330,4400,3.05,0,164.88,0
585188,3,2.25,2230,10026,1,0,3,8,1430,800,1975,98052,47.6647,-122.153,2230,9340,9.26,1,47.75,0
305000,3,1.75,1650,9480,1,0,3,7,1220,430,1977,98034,47.726,-122.191,1540,8400,10.56,1,27.4,0
166950,3,1,1190,8820,1,0,3,6,1190,0,1959,98058,47.4616,-122.184,1230,7980,12.14,1,16.68,0
799000,3,2.5,2140,9897,1,0,4,8,2140,0,1959,98040,47.5505,-122.219,2680,10083,6.52,0,66.38,0
400000,3,2.5,2180,7508,1,0,4,7,1420,760,1962,98133,47.7606,-122.336,1900,7818,10.66,0,41.29,0
230000,3,1,1060,10228,1,0,3,7,1060,0,1948,98155,47.7481,-122.3,1570,10228,9.91,0,20.38,0
256883,3,2.5,1690,5025,2,0,3,8,1690,0,2003,98023,47.2779,-122.347,2550,5001,22.68,0,38.26,0
423000,4,2,1970,6480,1.5,0,5,7,1130,840,1920,98108,47.5511,-122.312,1500,6480,3.92,1,50.06,0
465000,3,2.5,2150,4084,2,0,3,8,2150,0,2007,98126,47.5488,-122.372,1750,2385,4.38,1,74.59,0
440000,3,2.5,1910,66211,2,0,3,7,1910,0,1997,98024,47.5385,-121.911,2330,67268,20.16,0,6.46,0
385000,3,1.75,1350,155073,1,0,4,7,1350,0,1969,98038,47.4058,-121.994,1560,50965,20.98,1,2.46,0
210000,3,1,860,11725,1,0,4,6,860,0,1943,98056,47.5093,-122.184,1300,9514,9.61,1,16.69,0
297000,3,2.5,1940,14952,2,0,3,8,1940,0,1994,98042,47.3777,-122.165,2030,10450,17.6,1,17.58,0
470000,3,1,1010,5000,1,0,3,7,1010,0,1952,98107,47.675,-122.394,1680,5000,5.55,0,78.2,0
226500,3,1.5,1300,7370,1,0,4,7,900,400,1976,98023,47.3025,-122.37,1430,7500,21.04,0,26.12,0
274250,3,1,910,8450,1,0,4,6,910,0,1962,98059,47.4787,-122.158,1400,8040,11.97,0,29.3,0
840000,4,1.75,2480,11010,1,0,4,9,1630,850,1966,98040,47.5378,-122.219,2770,10744,7.08,0,62.27,0
677900,3,2.5,2440,4587,2,0,3,8,2440,0,2010,98052,47.7073,-122.114,2750,4587,12.31,0,96.47,0
425000,3,1,1010,5864,1,0,3,7,1010,0,1915,98116,47.5733,-122.381,1290,5000,3.22,1,61.83,0
180250,2,0.75,900,9600,1,0,3,6,900,0,1941,98166,47.4604,-122.339,1250,14280,10.07,0,17.17,0
464000,6,3,2300,3404,2,0,3,7,1600,700,1920,98133,47.7067,-122.343,1560,1312,6.96,1,81.35,1
320000,4,2.25,1550,7579,2,0,3,8,1550,0,1993,98038,47.354,-122.047,1630,6397,21.91,1,35.05,0
625504,3,2.25,1270,1566,2,0,3,8,1060,210,2014,98105,47.6647,-122.284,1160,1327,4.62,1,220.56,0
592500,4,2.5,2240,12032,1,0,3,9,2240,0,1983,98074,47.6143,-122.017,2520,12368,14.68,0,41.51,0
465000,3,2.5,2714,17936,2,0,3,9,2714,0,2005,98001,47.3185,-122.275,2590,18386,20.04,0,22.52,0
477000,4,2.75,1720,6270,2,0,3,8,1720,0,1978,98118,47.5458,-122.268,2130,8700,5.13,0,59.7,0
280000,2,1,850,16400,1,0,3,6,850,0,1923,98168,47.4889,-122.299,1100,14459,8.24,1,16.23,0
1510000,5,3,3300,33474,1,0,3,9,1870,1430,1957,98040,47.5673,-122.21,3836,20953,6.29,1,41.06,1
445838,3,2.5,2250,5692,2,0,3,8,2250,0,2000,98146,47.5133,-122.379,1320,5390,6.78,1,56.14,0
1070000,2,2.25,3900,14864,1,0,3,8,1950,1950,1947,98144,47.5884,-122.291,2580,5184,2.27,1,57.02,0
467000,2,1.5,1320,10800,1,0,4,8,1320,0,1947,98177,47.7145,-122.367,2120,12040,7.65,0,38.53,0
686000,4,2.5,2760,6440,2,0,3,10,2760,0,1999,98075,47.5836,-122.026,3070,8127,14.34,0,74.57,0
279950,3,2,1750,9750,1,0,3,7,1350,400,1961,98198,47.398,-122.299,1900,10125,14.46,0,24.34,0
527000,4,2.25,2330,19436,2,0,3,8,2330,0,1987,98011,47.7663,-122.215,1910,10055,12.32,1,24.21,0
325000,3,2.25,2220,16020,1,0,4,8,1780,440,1966,98030,47.3758,-122.217,2080,9583,16.79,1,17.82,0
