price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,distance_from_downtown_mile,price_per_sqft,total_sqft_larger_than_neighbours,is_renovated
640000.0,4,2.0,2360,6000,2.0,0,4,8,2360,0,1904,98107,47.6702,-122.362,1730,4700,4.63,76.56,0,0
240000.0,4,1.0,1220,8075,1.0,0,2,7,890,330,1969,98001,47.3341,-122.282,1290,7800,18.93,25.82,0,0
605000.0,4,2.5,2620,7553,2.0,0,3,8,2620,0,1996,98056,47.5301,-122.18,2620,11884,8.82,59.47,0,0
625000.0,4,2.5,2570,5520,2.0,0,3,9,2570,0,2000,98074,47.6145,-122.027,2470,5669,14.21,77.26,0,0
685000.0,3,1.0,1570,2280,2.0,0,3,7,1570,0,1922,98119,47.6413,-122.364,1580,2640,2.84,177.92,0,0
309000.0,3,1.0,1280,9656,1.0,0,4,6,920,360,1959,98058,47.4485,-122.175,1340,8808,13.12,28.26,0,0
488000.0,3,2.5,3160,13603,2.0,0,3,8,3160,0,2003,98019,47.7443,-121.977,3050,9232,19.06,29.11,0,0
210490.0,3,1.0,990,8528,1.0,0,3,6,990,0,1966,98023,47.3066,-122.371,1228,8840,20.77,22.11,0,0
785000.0,4,2.5,2290,13416,2.0,0,4,9,2290,0,1981,98007,47.6194,-122.151,2680,13685,8.48,49.98,0,0
450000.0,3,1.75,1250,5963,1.0,0,4,7,1250,0,1953,98115,47.6796,-122.301,970,5100,5.27,62.39,0,0
228000.0,3,1.0,1190,9199,1.0,0,3,7,1190,0,1955,98148,47.4258,-122.322,1190,9364,12.46,21.95,0,0
600000.0,3,1.75,1410,4080,1.0,0,4,7,1000,410,1950,98117,47.6808,-122.384,1410,4080,5.69,109.29,0,0
585000.0,2,1.75,1980,8550,1.0,0,3,7,990,990,1981,98117,47.6989,-122.369,1480,6738,6.63,55.56,0,0
920000.0,5,2.25,2730,6000,1.5,0,3,8,2130,600,1927,98105,47.6571,-122.281,2730,6000,4.24,105.38,0,0
885000.0,4,2.5,2830,5000,2.0,0,3,9,2830,0,1995,98105,47.6597,-122.29,1950,5000,4.18,113.03,0,0
292500.0,4,2.5,2250,4495,2.0,0,3,7,2250,0,2008,98042,47.3663,-122.114,2250,4500,19.44,43.37,0,0
301000.0,3,2.5,2420,4750,2.0,0,3,8,2420,0,2003,98042,47.3663,-122.122,2690,4750,19.25,41.98,0,0
430000.0,4,3.0,1850,9976,2.0,0,3,8,1850,0,1991,98059,47.5059,-122.149,2270,8542,10.99,36.36,0,0
289000.0,3,1.75,1260,8400,1.0,0,3,7,1260,0,1954,98148,47.4366,-122.335,1290,8750,11.71,29.92,0,0
505000.0,3,1.75,2519,8690,2.0,0,5,8,2519,0,1973,98166,47.4428,-122.344,2500,9500,11.3,45.05,0,0
549000.0,3,1.75,1540,1044,3.0,0,3,8,1540,0,2014,98115,47.6765,-122.32,1580,3090,4.89,212.46,1,0
425000.0,3,2.25,1660,6000,1.0,0,3,7,1110,550,1979,98122,47.6113,-122.297,1440,4080,1.67,55.48,0,0
317625.0,3,2.75,2770,3809,1.5,0,5,7,1770,1000,1925,98144,47.5747,-122.304,1440,4000,2.54,48.28,0,0
975000.0,4,2.5,2720,11049,2.0,0,3,10,2720,0,1989,98004,47.5815,-122.192,2750,11049,6.74,70.81,0,0
287000.0,4,2.5,2240,4648,2.0,0,3,7,2240,0,2005,98001,47.3378,-122.257,2221,4557,18.86,41.67,0,0
204000.0,3,1.0,1000,12070,1.0,0,4,7,1000,0,1968,98042,47.3621,-122.11,1010,12635,19.79,15.61,0,0
325000.0,3,2.0,1260,5612,1.0,0,4,7,1260,0,1972,98034,47.7362,-122.179,1640,4745,11.46,47.29,0,0
571000.0,4,2.0,2750,7807,1.5,0,5,7,2250,500,1916,98125,47.7168,-122.287,1510,7807,7.92,54.09,0,0
360000.0,4,2.5,2380,5000,2.0,0,3,8,2380,0,2005,98038,47.3608,-122.036,2420,5000,21.86,48.78,0,0
380000.0,4,1.75,1760,7300,1.0,0,3,7,880,880,1956,98008,47.6034,-122.125,1680,7500,9.64,41.94,0,0
480000.0,3,1.0,1040,5060,1.0,0,3,7,1040,0,1941,98116,47.5636,-122.394,890,5060,4.12,78.69,0,0
410000.0,3,1.0,1410,5060,1.0,0,4,7,910,500,1956,98133,47.7073,-122.34,1130,5693,6.99,63.37,0,0
390000.0,3,2.5,2350,5100,2.0,0,3,8,2350,0,2003,98038,47.3512,-122.008,2350,5363,23.21,52.35,0,0
360000.0,4,2.5,1900,5889,2.0,0,3,7,1900,0,1992,98038,47.349,-122.031,1870,6405,22.65,46.22,0,0
355000.0,2,1.0,2020,6720,1.0,0,3,7,1010,1010,1948,98118,47.5474,-122.291,1720,6720,4.49,40.62,0,0
356000.0,3,1.5,1680,8712,1.0,0,3,8,1680,0,1964,98059,47.4811,-122.149,1850,8797,12.14,34.26,0,0
315000.0,3,1.0,960,6634,1.0,0,3,6,960,0,1952,98125,47.7264,-122.31,1570,7203,8.36,41.48,0,0
940000.0,3,1.5,2140,3600,2.0,0,3,9,1900,240,1925,98119,47.6337,-122.365,2020,4800,2.44,163.76,0,0
305000.0,5,2.25,2660,8400,1.5,0,5,7,2660,0,1961,98092,47.2909,-122.189,1590,8165,22.77,27.58,0,0
461000.0,3,3.25,2770,6278,2.0,0,3,9,1980,790,2006,98056,47.5228,-122.199,1900,7349,8.46,50.95,0,0
215000.0,2,2.25,1610,2040,2.0,0,4,7,1610,0,1979,98056,47.518,-122.194,1950,2025,8.86,58.9,0,0
335000.0,2,1.75,1030,1066,2.0,0,3,7,765,265,2006,98136,47.5394,-122.387,1030,1106,5.27,159.83,0,0
243500.0,4,2.5,1980,7403,2.0,0,3,7,1980,0,1988,98023,47.2897,-122.372,1980,7510,21.93,25.95,0,0
153000.0,3,1.0,1200,10500,1.0,0,3,7,1200,0,1962,98023,47.322,-122.351,1350,10500,19.64,13.08,0,0
430000.0,3,1.5,1580,5000,1.0,0,3,8,1290,290,1939,98117,47.687,-122.386,1570,4500,6.12,65.35,0,0
905000.0,4,2.5,3300,10250,1.0,0,3,7,2390,910,1946,98040,47.5873,-122.249,1950,6045,4.08,66.79,0,1
247500.0,3,1.75,1960,15681,1.0,0,3,7,1960,0,1967,98032,47.3576,-122.277,1750,15616,17.36,14.03,0,0
199000.0,4,1.5,1160,6400,1.0,0,4,7,1160,0,1975,98023,47.3036,-122.378,1160,6400,21.0,26.32,0,0
850830.0,3,2.5,2070,13241,1.5,0,5,9,1270,800,1910,98102,47.6415,-122.315,2200,4500,2.56,55.57,0,0
555000.0,3,2.0,1980,3478,1.5,0,4,7,1440,540,1929,98117,47.6775,-122.372,1610,3478,5.26,101.69,0,0
1090000.0,3,2.5,2920,8113,2.0,0,3,8,2920,0,1950,98004,47.5814,-122.196,2370,8113,6.56,98.79,0,1
375000.0,3,2.5,2340,10005,1.0,0,4,8,1460,880,1978,98058,47.4431,-122.133,2250,8162,14.59,30.38,0,0
460000.0,3,1.0,1670,4005,1.5,0,4,7,1170,500,1939,98117,47.6878,-122.38,1240,4005,6.06,81.06,0,0
188500.0,2,1.75,1240,2493,1.0,0,4,8,1240,0,1985,98198,47.3813,-122.322,1270,4966,15.54,50.5,1,0
470000.0,5,1.75,2030,12342,2.0,0,4,7,2030,0,1942,98052,47.6417,-122.109,2500,9433,10.67,32.7,0,0
597750.0,4,2.5,2310,9624,2.0,0,3,8,2310,0,1984,98027,47.5386,-122.053,1940,9636,13.81,50.09,0,0
570000.0,3,1.75,1260,3328,1.0,0,5,6,700,560,1905,98103,47.6823,-122.349,1380,3536,5.31,124.24,0,0
272500.0,3,1.75,1540,12600,1.0,0,4,7,1160,0,1980,98038,47.3624,-122.031,1540,11656,21.93,19.27,0,0
329950.0,3,1.75,2080,5969,1.0,0,3,7,1080,1000,1971,98108,47.5474,-122.295,2090,5500,4.41,40.99,0,0
480000.0,4,2.5,3230,16171,2.0,0,3,9,2520,710,2001,98001,47.3183,-122.253,2640,8517,20.22,24.74,0,0
518500.0,3,3.5,1590,1102,3.0,0,3,8,1590,0,2010,98103,47.6824,-122.347,1620,3166,5.31,192.61,1,0
205425.0,2,1.0,880,6780,1.0,0,4,6,880,0,1945,98178,47.5009,-122.248,1190,6780,8.26,26.82,0,0
171800.0,4,2.0,1570,9600,1.0,0,3,6,1570,0,1950,98168,47.4965,-122.303,1880,9000,7.69,15.38,0,0
535000.0,4,1.0,1610,2982,1.5,0,4,7,1610,0,1925,98144,47.587,-122.294,1610,4040,2.21,116.51,0,0
660000.0,3,2.5,2400,6474,1.0,0,3,8,1560,840,1964,98177,47.7728,-122.386,2340,10856,11.77,74.37,0,0
391500.0,3,2.0,1450,9132,1.0,0,3,7,1450,0,1987,98034,47.7288,-122.226,1580,9104,9.8,37.0,0,0
395000.0,2,1.0,770,6000,1.0,0,3,6,770,0,1953,98117,47.6999,-122.364,1710,6000,6.64,58.35,0,0
445000.0,4,1.75,2100,4400,1.5,0,5,7,1720,380,1924,98118,47.5299,-122.266,1850,4400,6.1,68.46,0,0
770000.0,3,2.25,2910,10204,2.0,0,3,9,2910,0,1990,98052,47.6897,-122.098,2700,13992,12.32,58.72,0,0
445000.0,3,2.25,2100,8201,1.0,0,3,8,1620,480,1967,98178,47.5091,-122.244,2660,8712,7.86,43.2,0,0
260000.0,4,2.25,2160,8811,1.0,0,3,8,1360,800,1978,98023,47.3129,-122.39,2090,8400,20.43,23.7,0,0
822500.0,5,3.5,2320,4960,2.0,0,5,7,1720,600,1926,98103,47.6763,-122.352,1700,4960,4.93,112.98,0,0
430000.0,4,2.5,2070,4310,2.0,0,3,7,2070,0,2004,98065,47.5319,-121.85,1970,3748,23.04,67.4,0,0
212000.0,3,1.75,1060,7875,1.0,0,4,7,1060,0,1986,98092,47.2761,-122.152,1420,7680,24.29,23.73,0,0
660500.0,4,2.25,2010,9603,1.0,0,3,8,1440,570,1986,98027,47.5343,-122.054,2060,9793,13.87,56.88,0,0
453246.0,3,2.5,2010,2287,2.0,0,3,8,1390,620,2014,98029,47.5517,-121.998,1690,1662,16.01,105.48,0,0
675000.0,4,3.5,2140,2278,3.0,0,3,9,2140,0,2005,98107,47.6734,-122.38,1540,2285,5.15,152.78,0,0
199000.0,3,1.75,1320,17390,1.0,0,4,7,1320,0,1956,98003,47.3257,-122.296,1550,19265,19.44,10.64,0,0
220000.0,4,1.75,2020,7840,1.0,0,3,7,1010,1010,1968,98003,47.3309,-122.299,1750,8140,19.07,22.31,0,0
452000.0,4,2.25,2590,10002,1.0,0,4,8,1340,1250,1968,98028,47.7689,-122.266,1550,10436,11.65,35.9,0,0
382500.0,2,1.0,1190,4440,1.0,0,3,6,1190,0,1981,98125,47.7135,-122.287,1060,5715,7.7,67.94,0,0
519950.0,3,2.25,1170,1249,3.0,0,3,8,1170,0,2014,98107,47.6722,-122.381,1350,1310,5.09,214.94,0,0
665000.0,2,1.0,1110,3200,1.0,0,3,7,1110,0,1925,98119,47.6338,-122.358,1170,3600,2.25,154.29,0,0
205000.0,3,1.0,1610,8579,1.0,0,4,7,1010,600,1962,98058,47.4563,-122.171,1610,8579,12.79,20.12,0,0
420000.0,3,1.0,1060,8097,1.0,0,4,7,940,120,1923,98133,47.7144,-122.351,1560,7940,7.52,45.87,0,0
500000.0,4,2.25,2030,8517,1.0,0,4,8,1380,650,1961,98006,47.5495,-122.174,2230,8824,8.34,47.41,0,0
890000.0,4,1.0,2550,4000,2.0,0,3,8,2370,180,1905,98109,47.6354,-122.353,2200,4000,2.24,135.88,0,0
258000.0,5,2.0,2260,12500,1.0,0,4,8,1130,1130,1960,98032,47.3887,-122.286,1360,18000,15.17,17.48,0,0
511000.0,3,1.0,1430,3455,1.0,0,3,7,980,450,1947,98103,47.6873,-122.336,1450,4599,5.6,104.61,0,0
532170.0,3,2.0,1360,3090,2.0,0,3,8,1360,0,1990,98103,47.6838,-122.353,1500,3090,5.45,119.59,0,0
560000.0,3,1.0,1110,5000,1.5,0,3,7,1110,0,1947,98107,47.655,-122.359,1420,5000,3.59,91.65,0,0
282950.0,3,1.0,1250,8200,1.0,0,4,7,1250,0,1954,98003,47.3255,-122.304,1680,8633,19.43,29.94,0,0
350000.0,1,1.0,700,5100,1.0,0,3,7,700,0,1942,98115,47.679,-122.3,1010,5100,5.24,60.34,0,0
215000.0,3,1.0,1180,7669,1.0,0,4,7,1180,0,1967,98058,47.4479,-122.176,1190,7669,13.13,24.3,0,0
320000.0,4,2.75,2640,7500,1.0,0,3,8,1620,1020,1967,98023,47.3135,-122.369,1980,7875,20.28,31.56,0,0
247000.0,3,2.0,1270,7198,1.5,0,3,7,1270,0,1916,98022,47.2086,-121.996,1160,7198,31.63,29.17,0,1
320000.0,4,1.75,1760,11180,1.0,0,4,8,1760,0,1968,98059,47.4715,-122.118,1730,11180,13.64,24.73,0,0
255000.0,5,2.25,2060,8632,1.0,0,3,7,1030,1030,1962,98146,47.4877,-122.335,1010,11680,8.18,23.85,0,0
438000.0,3,1.75,1780,9660,1.0,0,3,7,1780,0,1962,98034,47.7171,-122.193,1200,9660,10.02,38.29,0,0
441000.0,3,2.75,1910,7280,1.0,0,3,7,1160,750,1979,98034,47.7319,-122.224,1710,8152,10.03,47.99,0,0
370000.0,3,1.75,1580,7000,1.0,0,3,7,1180,400,1976,98034,47.7209,-122.168,1640,7500,11.0,43.12,0,0
269950.0,2,1.75,1340,7250,1.0,0,5,5,700,640,1949,98198,47.408,-122.327,1830,9750,13.69,31.43,0,0
807100.0,4,2.5,2680,4499,2.0,0,3,9,2680,0,1999,98006,47.565,-122.125,2920,4500,10.06,112.43,0,0
653000.0,3,2.5,2680,9750,1.0,0,4,8,1610,1070,1979,98034,47.7028,-122.231,2480,8750,8.16,52.53,0,0
371500.0,3,2.0,1370,8336,1.0,0,5,7,1370,0,1964,98133,47.7458,-122.331,1770,7288,9.64,38.28,0,0
272000.0,3,1.75,2160,7140,1.0,0,4,7,1670,490,1978,98023,47.3026,-122.374,1930,7350,21.05,29.25,0,0
313000.0,3,1.5,1340,7912,1.5,0,3,7,1340,0,1955,98133,47.7658,-122.339,1480,7940,11.02,33.83,0,0
673000.0,4,2.25,2590,8190,2.0,0,4,8,2590,0,1980,98006,47.5619,-122.125,2260,8335,10.12,62.43,0,0
425000.0,3,2.5,1120,1100,2.0,0,3,8,820,300,2008,98122,47.6106,-122.31,1590,1795,1.07,191.44,0,0
399950.0,5,2.75,1970,5400,1.0,0,3,7,1320,650,1986,98144,47.5868,-122.308,1280,2150,1.75,54.27,0,0
385000.0,3,1.0,1220,4800,1.0,0,3,6,1220,0,1901,98122,47.6101,-122.307,1200,4800,1.2,63.95,0,0
269950.0,3,1.5,1950,7560,1.0,0,4,7,1320,630,1975,98022,47.1976,-121.999,1950,8941,32.22,28.39,0,0
330000.0,2,1.0,1350,8220,1.0,0,3,7,1060,290,1949,98177,47.7224,-122.358,1540,8280,8.11,34.48,0,0
260000.0,3,2.5,1670,5797,2.0,0,3,7,1670,0,1988,98030,47.3505,-122.179,1670,6183,19.05,34.82,0,0
470000.0,4,3.0,2380,5125,1.5,0,4,7,1680,700,1925,98126,47.5384,-122.376,1410,5375,5.11,62.62,0,0
589000.0,4,3.0,2440,9600,2.0,0,5,7,2440,0,1961,98034,47.7044,-122.2,2290,9600,9.15,48.92,0,0
163500.0,2,1.5,1050,3419,2.0,0,3,7,1050,0,1996,98038,47.3848,-122.039,1050,3417,20.51,36.59,0,0
835000.0,4,2.75,3130,13412,2.0,0,3,9,2140,990,1993,98052,47.6993,-122.102,2260,9984,12.48,50.48,0,0
269000.0,4,1.75,1490,10000,1.0,0,4,8,1100,390,1969,98023,47.3099,-122.379,2190,8910,20.58,23.41,0,0
560000.0,3,2.5,1900,8744,2.0,0,3,8,1900,0,1987,98074,47.62,-122.043,2030,8744,13.49,52.61,0,0
615000.0,4,1.0,1330,2400,1.5,0,4,6,1330,0,1901,98103,47.65,-122.34,1330,4400,3.05,164.88,0,0
585188.0,3,2.25,2230,10026,1.0,0,3,8,1430,800,1975,98052,47.6647,-122.153,2230,9340,9.26,47.75,0,0
305000.0,3,1.75,1650,9480,1.0,0,3,7,1220,430,1977,98034,47.726000000000006,-122.191,1540,8400,10.56,27.4,0,0
166950.0,3,1.0,1190,8820,1.0,0,3,6,1190,0,1959,98058,47.4616,-122.184,1230,7980,12.14,16.68,0,0
799000.0,3,2.5,2140,9897,1.0,0,4,8,2140,0,1959,98040,47.5505,-122.219,2680,10083,6.52,66.38,0,0
400000.0,3,2.5,2180,7508,1.0,0,4,7,1420,760,1962,98133,47.7606,-122.336,1900,7818,10.66,41.29,0,0
230000.0,3,1.0,1060,10228,1.0,0,3,7,1060,0,1948,98155,47.7481,-122.3,1570,10228,9.91,20.38,0,0
256883.0,3,2.5,1690,5025,2.0,0,3,8,1690,0,2003,98023,47.2779,-122.347,2550,5001,22.68,38.26,0,0
423000.0,4,2.0,1970,6480,1.5,0,5,7,1130,840,1920,98108,47.5511,-122.312,1500,6480,3.92,50.06,0,0
465000.0,3,2.5,2150,4084,2.0,0,3,8,2150,0,2007,98126,47.5488,-122.372,1750,2385,4.38,74.59,0,0
210000.0,3,1.0,860,11725,1.0,0,4,6,860,0,1943,98056,47.5093,-122.184,1300,9514,9.61,16.69,0,0
297000.0,3,2.5,1940,14952,2.0,0,3,8,1940,0,1994,98042,47.3777,-122.165,2030,10450,17.6,17.58,0,0
470000.0,3,1.0,1010,5000,1.0,0,3,7,1010,0,1952,98107,47.675,-122.394,1680,5000,5.55,78.2,0,0
226500.0,3,1.5,1300,7370,1.0,0,4,7,900,400,1976,98023,47.3025,-122.37,1430,7500,21.04,26.12,0,0
274250.0,3,1.0,910,8450,1.0,0,4,6,910,0,1962,98059,47.4787,-122.158,1400,8040,11.97,29.3,0,0
840000.0,4,1.75,2480,11010,1.0,0,4,9,1630,850,1966,98040,47.5378,-122.219,2770,10744,7.08,62.27,0,0
677900.0,3,2.5,2440,4587,2.0,0,3,8,2440,0,2010,98052,47.7073,-122.114,2750,4587,12.31,96.47,0,0
425000.0,3,1.0,1010,5864,1.0,0,3,7,1010,0,1915,98116,47.5733,-122.381,1290,5000,3.22,61.83,0,0
180250.0,2,0.75,900,9600,1.0,0,3,6,900,0,1941,98166,47.4604,-122.339,1250,14280,10.07,17.17,0,0
464000.0,6,3.0,2300,3404,2.0,0,3,7,1600,700,1920,98133,47.7067,-122.343,1560,1312,6.96,81.35,0,1
320000.0,4,2.25,1550,7579,2.0,0,3,8,1550,0,1993,98038,47.354,-122.047,1630,6397,21.91,35.05,0,0
625504.0,3,2.25,1270,1566,2.0,0,3,8,1060,210,2014,98105,47.6647,-122.284,1160,1327,4.62,220.56,0,0
592500.0,4,2.5,2240,12032,1.0,0,3,9,2240,0,1983,98074,47.6143,-122.017,2520,12368,14.68,41.51,0,0
465000.0,3,2.5,2714,17936,2.0,0,3,9,2714,0,2005,98001,47.3185,-122.275,2590,18386,20.04,22.52,0,0
477000.0,4,2.75,1720,6270,2.0,0,3,8,1720,0,1978,98118,47.5458,-122.268,2130,8700,5.13,59.7,0,0
280000.0,2,1.0,850,16400,1.0,0,3,6,850,0,1923,98168,47.4889,-122.299,1100,14459,8.24,16.23,0,0
445838.0,3,2.5,2250,5692,2.0,0,3,8,2250,0,2000,98146,47.5133,-122.379,1320,5390,6.78,56.14,0,0
467000.0,2,1.5,1320,10800,1.0,0,4,8,1320,0,1947,98177,47.7145,-122.367,2120,12040,7.65,38.53,0,0
686000.0,4,2.5,2760,6440,2.0,0,3,10,2760,0,1999,98075,47.5836,-122.026,3070,8127,14.34,74.57,0,0
279950.0,3,2.0,1750,9750,1.0,0,3,7,1350,400,1961,98198,47.398,-122.299,1900,10125,14.46,24.34,0,0
325000.0,3,2.25,2220,16020,1.0,0,4,8,1780,440,1966,98030,47.3758,-122.217,2080,9583,16.79,17.82,0,0
328000.0,3,2.25,2020,8379,2.0,0,3,7,2020,0,1994,98038,47.3828,-122.023,2020,8031,21.12,31.54,0,0
390000.0,3,2.25,1250,7500,1.0,0,5,7,1250,0,1942,98146,47.5123,-122.373,1280,7392,6.76,44.57,0,0
479950.0,2,2.0,1510,6516,1.0,0,3,8,1510,0,2005,98053,47.7076,-122.013,1640,6009,16.41,59.8,0,0
264950.0,4,2.25,1720,9753,1.0,0,4,7,1120,600,1978,98023,47.2922,-122.371,1510,9753,21.76,23.09,0,0
235000.0,3,1.0,1430,15246,1.0,0,4,7,980,450,1961,98031,47.4075,-122.214,1960,13068,14.78,14.09,0,0
516500.0,3,2.5,1480,4729,2.0,0,3,7,1480,0,2004,98053,47.6794,-122.034,2250,4729,14.76,83.19,0,0
655000.0,2,1.75,1450,15798,2.0,1,3,7,1230,220,1915,98166,47.4497,-122.375,2030,13193,10.99,37.98,0,1
500000.0,4,2.75,2280,15347,1.0,0,5,7,2280,0,1960,98059,47.5218,-122.164,2280,15347,9.76,28.37,0,0
315000.0,6,2.75,2940,7350,1.0,0,3,8,1780,1160,1978,98023,47.3103,-122.339,2120,8236,20.43,30.61,0,0
213000.0,2,1.0,1000,10200,1.0,0,3,6,1000,0,1961,98024,47.5687,-121.899,1150,13702,20.33,19.02,0,0
475000.0,3,1.5,2480,5280,1.5,0,5,7,1620,860,1947,98108,47.5575,-122.303,2090,4800,3.63,61.21,0,0
410000.0,4,1.0,1970,4740,1.5,0,3,7,1670,300,1904,98122,47.6136,-122.303,1510,4740,1.45,61.1,0,1
225000.0,3,1.75,1430,8505,1.0,0,4,7,1430,0,1968,98003,47.3173,-122.319,1190,8640,19.96,22.65,0,0
210000.0,2,1.0,830,6000,1.0,0,3,6,830,0,1940,98126,47.5308,-122.376,830,4960,5.59,30.75,0,0
455000.0,2,1.0,1430,5000,1.5,0,2,7,1430,0,1925,98115,47.6727,-122.299,1450,3750,4.84,70.76,0,0
225000.0,3,1.0,1300,8316,1.0,0,4,6,1300,0,1954,98002,47.3221,-122.216,1260,8316,20.35,23.4,0,0
480000.0,2,1.0,1030,3060,1.0,0,4,7,790,240,1918,98103,47.6779,-122.353,1390,3060,5.05,117.36,0,0
363000.0,3,2.5,2740,11872,2.0,0,3,9,2740,0,1990,98023,47.3076,-122.395,2570,10377,20.83,24.84,0,0
181000.0,2,1.5,720,5120,1.0,0,3,6,720,0,1954,98106,47.5218,-122.357,1150,2566,5.94,30.99,0,0
250000.0,4,2.0,2010,7312,1.0,0,4,7,2010,0,1976,98002,47.2785,-122.213,2010,7650,23.3,26.82,0,0
481000.0,3,1.75,1560,3000,1.0,0,4,6,770,790,1918,98103,47.6846,-122.345,1390,3000,5.45,105.48,0,0
260000.0,3,2.0,1810,7209,1.0,0,4,7,1240,570,1978,98032,47.3656,-122.278,1750,7209,16.8,28.83,0,0
349500.0,3,1.0,1400,3538,1.0,0,3,7,800,600,1953,98118,47.5405,-122.27,1620,6331,5.38,70.78,0,0
245000.0,3,2.5,1730,7442,2.0,0,3,7,1730,0,1987,98030,47.3507,-122.178,1630,6458,19.05,26.71,0,0
592500.0,2,2.0,1420,9191,1.5,0,5,7,1420,0,1928,98115,47.6979,-122.32,1420,6816,6.36,55.84,0,0
385000.0,4,1.75,2360,7620,1.0,0,4,7,1180,1180,1955,98106,47.5278,-122.345,1910,7620,5.45,38.58,0,0
